ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm,PeriodID,tbl_SamplingPeriods_Season,tbl_SamplingPeriods_StartDate,tbl_SamplingPeriods_EndDate,EventID,tbl_SamplingEvents_Season,tbl_SamplingEvents_StartDate,tbl_SamplingEvents_EndDate,ChannelType,SiteNumber,SampleLocation,tbl_ShinerRiparianCorridor_Season,RiparianCover_0to25_m,RiparianCover_26to50_m,RiparianCover_51to75_m,RiparianCover_76to100_m,RiparianCover_GT100_m,StreamBankErosionCover
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2021Aug26,2021,8/26/2021 0:00:00,8/26/2021 0:00:00,PIPEShiner2021Aug26,2021,8/26/2021 0:00:00,8/26/2021 0:00:00,main,1,R,2021,3,3,3,3,3,2
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2021Aug26,2021,8/26/2021 0:00:00,8/26/2021 0:00:00,PIPEShiner2021Aug26,2021,8/26/2021 0:00:00,8/26/2021 0:00:00,main,2,R,2021,3,3,3,3,3,2
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2021Aug26,2021,8/26/2021 0:00:00,8/26/2021 0:00:00,PIPEShiner2021Aug26,2021,8/26/2021 0:00:00,8/26/2021 0:00:00,main,3,L,2021,3,3,3,3,3,2
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2021Aug26,2021,8/26/2021 0:00:00,8/26/2021 0:00:00,PIPEShiner2021Aug26,2021,8/26/2021 0:00:00,8/26/2021 0:00:00,main,3,R,2021,3,3,3,3,3,2
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2021Aug26,2021,8/26/2021 0:00:00,8/26/2021 0:00:00,PIPEShiner2021Aug26,2021,8/26/2021 0:00:00,8/26/2021 0:00:00,main,4,L,2021,3,3,3,3,3,2
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2021Aug26,2021,8/26/2021 0:00:00,8/26/2021 0:00:00,PIPEShiner2021Aug26,2021,8/26/2021 0:00:00,8/26/2021 0:00:00,main,4,R,2021,3,3,3,3,3,2
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2021Aug26,2021,8/26/2021 0:00:00,8/26/2021 0:00:00,PIPEShiner2021Aug26,2021,8/26/2021 0:00:00,8/26/2021 0:00:00,main,5,L,2021,3,3,3,3,3,2
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2021Aug26,2021,8/26/2021 0:00:00,8/26/2021 0:00:00,PIPEShiner2021Aug26,2021,8/26/2021 0:00:00,8/26/2021 0:00:00,main,5,R,2021,3,3,3,3,3,2
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2022Aug18,2022,8/18/2022 0:00:00,8/18/2022 0:00:00,PIPEShiner2022Aug18,2022,8/18/2022 0:00:00,8/18/2022 0:00:00,main,1,L,2022,3,3,3,3,3,-999
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2022Aug18,2022,8/18/2022 0:00:00,8/18/2022 0:00:00,PIPEShiner2022Aug18,2022,8/18/2022 0:00:00,8/18/2022 0:00:00,main,2,L,2022,3,3,3,3,3,-999
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2022Aug18,2022,8/18/2022 0:00:00,8/18/2022 0:00:00,PIPEShiner2022Aug18,2022,8/18/2022 0:00:00,8/18/2022 0:00:00,main,2,R,2022,3,3,3,3,3,-999
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2022Aug18,2022,8/18/2022 0:00:00,8/18/2022 0:00:00,PIPEShiner2022Aug18,2022,8/18/2022 0:00:00,8/18/2022 0:00:00,main,3,L,2022,3,3,3,3,3,-999
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2022Aug18,2022,8/18/2022 0:00:00,8/18/2022 0:00:00,PIPEShiner2022Aug18,2022,8/18/2022 0:00:00,8/18/2022 0:00:00,main,3,R,2022,3,3,3,3,3,-999
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2022Aug18,2022,8/18/2022 0:00:00,8/18/2022 0:00:00,PIPEShiner2022Aug18,2022,8/18/2022 0:00:00,8/18/2022 0:00:00,main,4,L,2022,3,3,3,3,3,-999
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2022Aug18,2022,8/18/2022 0:00:00,8/18/2022 0:00:00,PIPEShiner2022Aug18,2022,8/18/2022 0:00:00,8/18/2022 0:00:00,main,4,R,2022,3,3,3,3,3,-999
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2022Aug18,2022,8/18/2022 0:00:00,8/18/2022 0:00:00,PIPEShiner2022Aug18,2022,8/18/2022 0:00:00,8/18/2022 0:00:00,main,5,L,2022,3,3,3,3,3,-999
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2022Aug18,2022,8/18/2022 0:00:00,8/18/2022 0:00:00,PIPEShiner2022Aug18,2022,8/18/2022 0:00:00,8/18/2022 0:00:00,main,5,R,2022,3,3,3,3,3,-999
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2023Aug29,2023,8/29/2023 0:00:00,8/29/2023 0:00:00,PIPEShiner2023Aug29,2023,8/29/2023 0:00:00,8/29/2023 0:00:00,main,1,L,2023,3,3,3,3,3,2
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2023Aug29,2023,8/29/2023 0:00:00,8/29/2023 0:00:00,PIPEShiner2023Aug29,2023,8/29/2023 0:00:00,8/29/2023 0:00:00,main,1,R,2023,3,3,3,3,3,2
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2023Aug29,2023,8/29/2023 0:00:00,8/29/2023 0:00:00,PIPEShiner2023Aug29,2023,8/29/2023 0:00:00,8/29/2023 0:00:00,main,2,L,2023,3,3,3,3,3,3
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2023Aug29,2023,8/29/2023 0:00:00,8/29/2023 0:00:00,PIPEShiner2023Aug29,2023,8/29/2023 0:00:00,8/29/2023 0:00:00,main,2,R,2023,3,3,3,3,3,3
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2023Aug29,2023,8/29/2023 0:00:00,8/29/2023 0:00:00,PIPEShiner2023Aug29,2023,8/29/2023 0:00:00,8/29/2023 0:00:00,main,3,L,2023,3,3,3,3,3,3
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2023Aug29,2023,8/29/2023 0:00:00,8/29/2023 0:00:00,PIPEShiner2023Aug29,2023,8/29/2023 0:00:00,8/29/2023 0:00:00,main,3,R,2023,3,3,3,3,3,3
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2023Aug29,2023,8/29/2023 0:00:00,8/29/2023 0:00:00,PIPEShiner2023Aug29,2023,8/29/2023 0:00:00,8/29/2023 0:00:00,main,4,L,2023,3,3,3,3,3,3
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2023Aug29,2023,8/29/2023 0:00:00,8/29/2023 0:00:00,PIPEShiner2023Aug29,2023,8/29/2023 0:00:00,8/29/2023 0:00:00,main,4,R,2023,3,3,3,3,3,3
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2023Aug29,2023,8/29/2023 0:00:00,8/29/2023 0:00:00,PIPEShiner2023Aug29,2023,8/29/2023 0:00:00,8/29/2023 0:00:00,main,5,L,2023,3,3,3,3,3,3
Pipestone National Monument,PIPE,PIPEShiner01lower,1,mainstem,,Pipestone Creek - Lower,,Pipestone,,PIPELOW01,,,PIPEShiner2023Aug29,2023,8/29/2023 0:00:00,8/29/2023 0:00:00,PIPEShiner2023Aug29,2023,8/29/2023 0:00:00,8/29/2023 0:00:00,main,5,R,2023,3,3,3,3,3,3
Pipestone National Monument,PIPE,PIPEShiner01middl,1,mainstem,,Pipestone Creek - Middle,,Pipestone,,PIPEMID01,,,PIPEShiner2003Sep02,2003,9/2/2003 0:00:00,9/5/2003 0:00:00,PIPEShiner2003Sep04,2003,9/4/2003 0:00:00,9/4/2003 0:00:00,main,5,R,2003,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01middl,1,mainstem,,Pipestone Creek - Middle,,Pipestone,,PIPEMID01,,,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,main,1,L,2004,3,3,3,3,3,2
Pipestone National Monument,PIPE,PIPEShiner01middl,1,mainstem,,Pipestone Creek - Middle,,Pipestone,,PIPEMID01,,,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,main,1,R,2004,3,3,3,3,3,2
Pipestone National Monument,PIPE,PIPEShiner01middl,1,mainstem,,Pipestone Creek - Middle,,Pipestone,,PIPEMID01,,,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,main,2,L,2004,3,3,3,3,3,2
Pipestone National Monument,PIPE,PIPEShiner01middl,1,mainstem,,Pipestone Creek - Middle,,Pipestone,,PIPEMID01,,,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,main,2,R,2004,3,3,3,3,3,2
Pipestone National Monument,PIPE,PIPEShiner01middl,1,mainstem,,Pipestone Creek - Middle,,Pipestone,,PIPEMID01,,,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,main,3,L,2004,3,3,3,3,3,2
Pipestone National Monument,PIPE,PIPEShiner01middl,1,mainstem,,Pipestone Creek - Middle,,Pipestone,,PIPEMID01,,,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,PIPEShiner2004Sep16,2004,9/16/2004 0:00:00,9/16/2004 0:00:00,main,5,R,2004,3,3,3,3,3,2
Pipestone National Monument,PIPE,PIPEShiner01middl,1,mainstem,,Pipestone Creek - Middle,,Pipestone,,PIPEMID01,,,PIPEShiner2005Sep20,2005,9/20/2005 0:00:00,9/20/2005 0:00:00,PIPEShiner2005Sep20,2005,9/20/2005 0:00:00,9/20/2005 0:00:00,main,1,L,2005,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01middl,1,mainstem,,Pipestone Creek - Middle,,Pipestone,,PIPEMID01,,,PIPEShiner2005Sep20,2005,9/20/2005 0:00:00,9/20/2005 0:00:00,PIPEShiner2005Sep20,2005,9/20/2005 0:00:00,9/20/2005 0:00:00,main,5,R,2005,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01middl,1,mainstem,,Pipestone Creek - Middle,,Pipestone,,PIPEMID01,,,PIPEShiner2006Aug29,2006,8/29/2006 0:00:00,8/30/2006 0:00:00,PIPEShiner2006Aug29,2006,8/29/2006 0:00:00,8/29/2006 0:00:00,main,1,R,2006,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01middl,1,mainstem,,Pipestone Creek - Middle,,Pipestone,,PIPEMID01,,,PIPEShiner2006Aug29,2006,8/29/2006 0:00:00,8/30/2006 0:00:00,PIPEShiner2006Aug29,2006,8/29/2006 0:00:00,8/29/2006 0:00:00,main,2,L,2006,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01middl,1,mainstem,,Pipestone Creek - Middle,,Pipestone,,PIPEMID01,,,PIPEShiner2006Aug29,2006,8/29/2006 0:00:00,8/30/2006 0:00:00,PIPEShiner2006Aug29,2006,8/29/2006 0:00:00,8/29/2006 0:00:00,main,2,R,2006,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01middl,1,mainstem,,Pipestone Creek - Middle,,Pipestone,,PIPEMID01,,,PIPEShiner2006Aug29,2006,8/29/2006 0:00:00,8/30/2006 0:00:00,PIPEShiner2006Aug29,2006,8/29/2006 0:00:00,8/29/2006 0:00:00,main,3,L,2006,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01middl,1,mainstem,,Pipestone Creek - Middle,,Pipestone,,PIPEMID01,,,PIPEShiner2006Aug29,2006,8/29/2006 0:00:00,8/30/2006 0:00:00,PIPEShiner2006Aug29,2006,8/29/2006 0:00:00,8/29/2006 0:00:00,main,4,R,2006,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01upper,1,mainstem,,Pipestone Creek - Upper,,Pipestone,,PIPEUPP01,,,PIPEShiner2002Sep17,2002,9/17/2002 0:00:00,9/17/2002 0:00:00,PIPEShiner2002Sep17,2002,9/17/2002 0:00:00,9/17/2002 0:00:00,main,2,L,2002,1,1,1,1,1,0
Pipestone National Monument,PIPE,PIPEShiner01upper,1,mainstem,,Pipestone Creek - Upper,,Pipestone,,PIPEUPP01,,,PIPEShiner2002Sep17,2002,9/17/2002 0:00:00,9/17/2002 0:00:00,PIPEShiner2002Sep17,2002,9/17/2002 0:00:00,9/17/2002 0:00:00,main,4,R,2002,1,1,1,1,1,0
Pipestone National Monument,PIPE,PIPEShiner01upper,1,mainstem,,Pipestone Creek - Upper,,Pipestone,,PIPEUPP01,,,PIPEShiner2002Sep17,2002,9/17/2002 0:00:00,9/17/2002 0:00:00,PIPEShiner2002Sep17,2002,9/17/2002 0:00:00,9/17/2002 0:00:00,main,5,L,2002,1,1,1,1,1,0
Pipestone National Monument,PIPE,PIPEShiner01upper,1,mainstem,,Pipestone Creek - Upper,,Pipestone,,PIPEUPP01,,,PIPEShiner2003Sep02,2003,9/2/2003 0:00:00,9/5/2003 0:00:00,PIPEShiner2003Sep04,2003,9/4/2003 0:00:00,9/4/2003 0:00:00,main,5,L,2003,1,1,1,1,1,0
Pipestone National Monument,PIPE,PIPEShiner01upper,1,mainstem,,Pipestone Creek - Upper,,Pipestone,,PIPEUPP01,,,PIPEShiner2005Sep20,2005,9/20/2005 0:00:00,9/20/2005 0:00:00,PIPEShiner2005Sep20,2005,9/20/2005 0:00:00,9/20/2005 0:00:00,main,1,R,2005,3,3,3,3,3,0
Pipestone National Monument,PIPE,PIPEShiner01upper,1,mainstem,,Pipestone Creek - Upper,,Pipestone,,PIPEUPP01,,,PIPEShiner2005Sep20,2005,9/20/2005 0:00:00,9/20/2005 0:00:00,PIPEShiner2005Sep20,2005,9/20/2005 0:00:00,9/20/2005 0:00:00,main,4,R,2005,2,2,2,2,2,0
Pipestone National Monument,PIPE,PIPEShiner01upper,1,mainstem,,Pipestone Creek - Upper,,Pipestone,,PIPEUPP01,,,PIPEShiner2006Aug29,2006,8/29/2006 0:00:00,8/30/2006 0:00:00,PIPEShiner2006Aug29,2006,8/29/2006 0:00:00,8/29/2006 0:00:00,main,5,R,2006,3,3,3,3,3,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2001Aug28,2001,8/28/2001 0:00:00,10/13/2001 0:00:00,TAPRShiner2001Aug31,2001,8/31/2001 0:00:00,8/31/2001 0:00:00,main,1,L,2001,3,3,3,3,3,2
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2001Aug28,2001,8/28/2001 0:00:00,10/13/2001 0:00:00,TAPRShiner2001Aug31,2001,8/31/2001 0:00:00,8/31/2001 0:00:00,main,1,R,2001,3,3,3,3,3,2
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2001Aug28,2001,8/28/2001 0:00:00,10/13/2001 0:00:00,TAPRShiner2001Aug31,2001,8/31/2001 0:00:00,8/31/2001 0:00:00,main,2,L,2001,3,3,3,3,3,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2001Aug28,2001,8/28/2001 0:00:00,10/13/2001 0:00:00,TAPRShiner2001Aug31,2001,8/31/2001 0:00:00,8/31/2001 0:00:00,main,2,R,2001,3,3,3,3,3,6
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2001Aug28,2001,8/28/2001 0:00:00,10/13/2001 0:00:00,TAPRShiner2001Aug31,2001,8/31/2001 0:00:00,8/31/2001 0:00:00,main,3,L,2001,3,3,3,3,3,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2001Aug28,2001,8/28/2001 0:00:00,10/13/2001 0:00:00,TAPRShiner2001Aug31,2001,8/31/2001 0:00:00,8/31/2001 0:00:00,main,3,R,2001,3,3,3,3,3,4
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2001Aug28,2001,8/28/2001 0:00:00,10/13/2001 0:00:00,TAPRShiner2001Aug31,2001,8/31/2001 0:00:00,8/31/2001 0:00:00,main,4,L,2001,3,3,3,3,3,2
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2001Aug28,2001,8/28/2001 0:00:00,10/13/2001 0:00:00,TAPRShiner2001Aug31,2001,8/31/2001 0:00:00,8/31/2001 0:00:00,main,4,R,2001,3,3,3,3,3,6
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2001Aug28,2001,8/28/2001 0:00:00,10/13/2001 0:00:00,TAPRShiner2001Aug31,2001,8/31/2001 0:00:00,8/31/2001 0:00:00,main,5,L,2001,3,3,3,3,3,2
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2001Aug28,2001,8/28/2001 0:00:00,10/13/2001 0:00:00,TAPRShiner2001Aug31,2001,8/31/2001 0:00:00,8/31/2001 0:00:00,main,5,R,2001,3,3,3,3,3,2
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2002Sep30,2002,9/17/2002 0:00:00,10/6/2002 0:00:00,TAPRShiner2002Oct03,2002,10/3/2002 0:00:00,10/3/2002 0:00:00,main,1,R,2002,3,3,3,3,3,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2002Sep30,2002,9/17/2002 0:00:00,10/6/2002 0:00:00,TAPRShiner2002Oct03,2002,10/3/2002 0:00:00,10/3/2002 0:00:00,main,2,R,2002,3,3,3,3,3,6
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2002Sep30,2002,9/17/2002 0:00:00,10/6/2002 0:00:00,TAPRShiner2002Oct03,2002,10/3/2002 0:00:00,10/3/2002 0:00:00,main,3,L,2002,3,3,3,3,3,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2002Sep30,2002,9/17/2002 0:00:00,10/6/2002 0:00:00,TAPRShiner2002Oct03,2002,10/3/2002 0:00:00,10/3/2002 0:00:00,main,3,R,2002,3,3,3,3,3,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2002Sep30,2002,9/17/2002 0:00:00,10/6/2002 0:00:00,TAPRShiner2002Oct03,2002,10/3/2002 0:00:00,10/3/2002 0:00:00,main,4,L,2002,9,9,9,9,9,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2002Sep30,2002,9/17/2002 0:00:00,10/6/2002 0:00:00,TAPRShiner2002Oct03,2002,10/3/2002 0:00:00,10/3/2002 0:00:00,main,4,R,2002,9,9,9,9,9,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2003Oct06,2003,10/6/2003 0:00:00,10/10/2003 0:00:00,TAPRShiner2003Oct08,2003,10/8/2003 0:00:00,10/8/2003 0:00:00,main,2,L,2003,3,3,3,3,3,4
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2003Oct06,2003,10/6/2003 0:00:00,10/10/2003 0:00:00,TAPRShiner2003Oct08,2003,10/8/2003 0:00:00,10/8/2003 0:00:00,main,3,L,2003,3,3,3,3,3,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2003Oct06,2003,10/6/2003 0:00:00,10/10/2003 0:00:00,TAPRShiner2003Oct08,2003,10/8/2003 0:00:00,10/8/2003 0:00:00,main,4,L,2003,3,3,3,3,3,6
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2003Oct06,2003,10/6/2003 0:00:00,10/10/2003 0:00:00,TAPRShiner2003Oct08,2003,10/8/2003 0:00:00,10/8/2003 0:00:00,main,4,R,2003,3,3,3,3,3,2
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2003Oct06,2003,10/6/2003 0:00:00,10/10/2003 0:00:00,TAPRShiner2003Oct08,2003,10/8/2003 0:00:00,10/8/2003 0:00:00,main,5,L,2003,3,3,3,3,3,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2003Oct06,2003,10/6/2003 0:00:00,10/10/2003 0:00:00,TAPRShiner2003Oct08,2003,10/8/2003 0:00:00,10/8/2003 0:00:00,main,5,R,2003,3,3,3,3,3,2
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2004Oct04,2004,10/4/2004 0:00:00,10/7/2004 0:00:00,TAPRShiner2004Oct05,2004,10/5/2004 0:00:00,10/5/2004 0:00:00,main,3,L,2004,3,3,3,3,3,4
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2004Oct04,2004,10/4/2004 0:00:00,10/7/2004 0:00:00,TAPRShiner2004Oct05,2004,10/5/2004 0:00:00,10/5/2004 0:00:00,main,4,L,2004,3,3,3,3,3,4
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2005Oct03,2005,10/3/2005 0:00:00,10/5/2005 0:00:00,TAPRShiner2005Oct05,2005,10/5/2005 0:00:00,10/5/2005 0:00:00,main,2,L,2005,3,3,3,3,3,2
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2005Oct03,2005,10/3/2005 0:00:00,10/5/2005 0:00:00,TAPRShiner2005Oct05,2005,10/5/2005 0:00:00,10/5/2005 0:00:00,main,3,L,2005,3,3,3,3,3,2
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2005Oct03,2005,10/3/2005 0:00:00,10/5/2005 0:00:00,TAPRShiner2005Oct05,2005,10/5/2005 0:00:00,10/5/2005 0:00:00,main,4,L,2005,3,3,3,3,3,2
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2005Oct03,2005,10/3/2005 0:00:00,10/5/2005 0:00:00,TAPRShiner2005Oct05,2005,10/5/2005 0:00:00,10/5/2005 0:00:00,main,4,R,2005,3,3,3,3,3,2
Tallgrass Prairie National Preserve,TAPR,TAPRShiner01lower,1,mainstem,Pasture Name: Brome,Creek 1 - Lower,,Chase,,TAPRLOW01,,,TAPRShiner2005Oct03,2005,10/3/2005 0:00:00,10/5/2005 0:00:00,TAPRShiner2005Oct05,2005,10/5/2005 0:00:00,10/5/2005 0:00:00,main,5,L,2005,3,3,3,3,3,0
